Article #,PMID,PMCID,Cancer Type,Title,DOI,ICGC Program,Abstract Summary,Full-Text Summary,space_clean
Article 28,30537516,PMC7444093,prostate,Molecular Evolution of Early-Onset Prostate Cancer Identifies Molecular Risk Markers and Clinical Trajectories,,EOPC-DE,"Prostate cancer starts when cells in the prostate grow in an uncontrolled way and gain early DNA changesFinding these first changes can help sort men into higher or lower risk groups for future cancer growthResearchers studied prostate tumors from men age 55 or younger using several detailed lab tests on their DNAThey looked at 292 prostate cancer samples and tracked how DNA changes were linked with ageThey found a steady, clock like pattern of DNA damage that seemed to drive some of the first cancer changesThe team found four main types of prostate cancer based on these DNA patternsOne type was very aggressive and often had extra copies of a certain gene that was more active than normalThis aggressive type was confirmed in about 12,000 prostate tumor samples on glass slidesBy linking DNA patterns with risk groups, researchers mapped how prostate cancer may grow and change over timeThese results may help doctors better judge which men need stronger treatment and which can avoid extra care","Prostate cancer can grow slowly in some men and very fast in others, especially when it starts at a young age. Researchers closely examined the DNA and other signals in 292 prostate tumors, including many from men age 55 or younger. They looked for early changes in tumor cells and grouped cancers into four main types based on these changes. One group had extra copies of a gene called ESRP1, which led to higher ESRP1 levels in the cancer cells. These tumors were linked to higher Gleason scores, more spread to lymph nodes, and faster cancer growth. High ESRP1 levels also matched with a higher chance of the cancer coming back after treatment. The team built a score, called PEPCI, using DNA marks to reflect how aggressive a tumor is. High PEPCI scores were tied to higher Gleason scores and a greater risk of cancer return. Using these data, they created a computer model to predict which DNA change is likely to happen next. This model also estimates how long a patient may stay free from signs of cancer return. In the future, these tools may help doctors better sort patients by risk and guide treatment choices.",30537516
Article 29,32024849,PMC7002586,pan-cancer,A deep learning system accurately classifies primary and metastatic cancers using passenger mutation patterns,,,"Many people learn they have cancer only after it has already spread to other body parts. In about 3 out of 100 cases, doctors cannot find where the cancer first started. Researchers used a computer tool to study full DNA maps from 2,606 tumours from 24 common cancer types. They trained the tool to spot tiny DNA changes that do not directly drive cancer growth, called passenger changes. The tool guessed the cancer type correctly in 91 out of 100 tumours it had not seen before. On new main tumours, it was right 88 out of 100 times, and on spread tumours, 83 out of 100 times. This was about twice as accurate as trained cancer doctors when they saw only a spread tumour. Adding DNA changes that do drive cancer growth made the tool less accurate, which was unexpected. The pattern of small DNA changes seemed to hold key clues about where the cancer began. In the future, this kind of tool may help doctors find the source of hard to place cancers.","Cancer doctors often need to know where a tumour first started in the body to choose the best treatment. Sometimes the cancer has already spread, and scans and lab tests cannot find the first tumour site. Researchers used DNA from 2,606 tumours from 24 common cancer types. They looked at many small DNA changes that do not drive the cancer but build up over time. A computer program learned patterns in these DNA changes to guess the cancer type. The program was right for 91 out of 100 tumours in the main group. In other groups from other labs, it was right for 88 out of 100 main tumours. For tumours that had spread, it was right for 83 out of 100 cases. The program worked better when it used many “passenger” DNA changes, not just key cancer genes. These results suggest DNA patterns can point to where a cancer began, even after it spreads. In the future, this kind of test might help guide care for people with cancers of unknown starting place.",32024849
Article 30,32024998,PMC7058536,pan-cancer,Pan-cancer analysis of whole genomes identifies driver rearrangements promoted by LINE-1 retrotransposition,,,"Many cancer cells carry extra bits of jumping DNA that insert into their normal DNA. Researchers studied almost 3,000 tumor samples from 38 types of cancer to track these jumping DNA events. They found over 19,000 new jumping DNA events, and about one in three tumors had at least one event. In cancers of the food pipe, these events were the most common big DNA change seen in the cells. They were the second most common big DNA change in some head and neck and bowel cancers. Some jumping DNA events cut out very large parts of a chromosome, sometimes removing genes that usually slow cancer growth. They can also cause tangled swaps and extra copies of large DNA regions inside the cancer cell. In some cases, these changes lead to many extra copies of genes that push cells to grow and divide. Together, these findings show that jumping DNA can reshape cancer cell DNA in ways that help tumors form and grow. In the future, careful study of these DNA changes may help doctors better understand how some cancers start and change over time.","Many cancer cells carry extra bits of DNA that can copy and paste themselves into new places in the genome. Researchers examined nearly 3,000 tumor and normal DNA samples from 38 cancer types to track these moving DNA pieces. They found over 19,000 new insertions, and about one in three tumors had at least one event. These events were especially common in cancers of the food pipe, head and neck, lung, and colon. Most insertions came from one type of jumping DNA, which can cut the genome and insert a new copy. In some tumors, these insertions were the most common kind of large DNA change. Many insertions landed inside genes, including 66 in known cancer‑related genes. Some insertions cut out huge stretches of DNA, up to tens of millions of letters long. These cuts sometimes removed “brake” genes that normally slow cancer, or increased copies of “gas pedal” genes that drive growth. Overall, a small number of very active jumping DNA sites caused most of this damage in certain cancers. Understanding these patterns may help explain how some tumors gain dangerous DNA changes and could guide future genome‑based tests.",32024998
Article 31,32025012,PMC7025897,pan-cancer,Patterns of somatic structural variation in human cancer genomes,,,"Cancer cells often have big changes in their DNA, such as pieces deleted, copied, or moved around. Researchers studied DNA from 2,658 cancers from 38 types, using full genome reading tools. They grouped and labeled patterns of these DNA changes and found 16 main types, called signatures. Some changes remove pieces of DNA, and these deletions come in several common sizes and appear in certain cancer types. Other changes copy pieces of DNA in a row, and these copies also come in several common sizes. Some DNA changes happen when cells copy their DNA in a faulty way, which can create twisted and complex shapes. One common pattern uses 2 to 7 DNA pieces from different places, joined together in one spot. These joined pieces often appear with copied DNA runs and can turn on a key growth gene in liver cancer. Many different DNA change processes can shape how a cancer grows and which cells survive. In the future, these patterns may help doctors better sort cancers and choose more exact treatments.","Cancer cells often have big changes in their DNA, where pieces are cut, copied, moved, or lost. Researchers examined whole DNA from 2,559 cancers from 38 types, using strict tests to find these large DNA changes. They grouped the changes into simple ones, like pieces deleted or copied in place, and complex ones with many linked breaks. Simple deletions were the most common, followed by copied segments placed next to the original and then pieces moved elsewhere. In many cancers, several copied DNA pieces were stitched together into one new stretch, sometimes using 2–7 different segments. These “copy and paste” events often added extra gene copies and could turn cancer‑promoting genes on or switch off protectors. For example, in liver cancer, 10 of 30 cases with changes in a key growth gene had these special copy‑and‑paste events. The team found 16 main patterns of these large DNA changes, each linked to different ways cells copy and repair DNA. Some patterns were tied to faults in known DNA repair genes, such as BRCA1, BRCA2, and related partners. These results help explain how many paths can lead to cancer and may guide future tests that match tumors to repair‑targeted drugs.",32025012
Article 32,33157048,PMC8436590,renal,Molecular Subsets in Renal Cancer Determine Outcome to Checkpoint and Angiogenesis Blockade,,,"Kidney cancer can look very different from person to person, even when it has spread in the body. Researchers closely studied 823 kidney tumors to look for patterns in genes and other cell signals. They found seven main tumor types, each with its own way of growing blood vessels, using energy, and handling the immune system. Some tumors made many new blood vessels, while others showed strong immune attack or very fast cell growth. Two common drug plans were checked in these groups, one blocking blood vessel growth, and one mixing that with immune drugs. The mix with immune drugs helped more when tumors showed strong immune attack or very fast cell growth signals. Certain gene changes were linked to high blood vessel growth, while others were linked to fast cell growth and energy use. A hard to treat form, called sarcomatoid, had fewer blood vessel signs but more immune target signs on the tumor cells. This may explain why immune drugs often work better than blood vessel drugs alone in this form. These results may help doctors sort patients by tumor type and choose more personal treatment plans in the future.","Kidney cancer called renal cell carcinoma is common and often deadly when it has spread in the body. Researchers studied 823 tumor samples from people with advanced kidney cancer in a large treatment trial. They looked at patterns of gene activity and gene changes in these tumors and grouped them into seven types. Some tumor types had strong blood vessel growth signals, while others showed fast cell growth or strong immune cell presence. People with tumors rich in blood vessel signals tended to do better on either of the two main drug options. People with tumors that grew faster and had more immune signals did better with the drug mix that included immune therapy. Certain gene changes were linked to better or worse outcomes and to which drug choice worked better. For example, changes in one gene were tied to longer time before the cancer grew again, no matter the drug. Other gene changes were linked to worse outlook, but these patients often did better with the immune drug mix. Tumors with a “sarcomatoid” pattern were very aggressive but often responded well to the immune drug mix. These results suggest that testing tumor gene patterns may help match future patients to the treatment most likely to help.",33157048
Article 33,33657295,PMC8436591,renal,Nivolumab plus Cabozantinib versus Sunitinib for Advanced Renal-Cell Carcinoma,,,"People with advanced kidney cancer often need strong drugs to slow the disease and help them live longer. Researchers compared two treatment plans for adults who had not received past drug treatment for this cancer. One group took a mix of two drugs, given on a set schedule, and the other group took a single drug. There were 651 people in the trial, with about half in each group. The mix of two drugs kept the cancer from getting worse for about 16.6 months. The single drug kept the cancer from getting worse for about 8.3 months, which is about half as long. After one year, about 86 out of 100 people on the mix were still alive. About 76 out of 100 people on the single drug were still alive after one year. The cancer shrank or went away in about 56 out of 100 people on the mix. This happened in about 27 out of 100 people on the single drug. Serious side effects were common in both groups and sometimes led people to stop treatment. People on the mix of drugs reported better day to day well being than those on the single drug.","People with advanced kidney cancer often need medicine to slow or stop tumor growth. Researchers compared two treatment plans for adults with this cancer who had not had drug treatment before. One plan used two drugs together, nivolumab and cabozantinib, and the other used one drug, sunitinib. A total of 651 people took part, with about half in each treatment group. Tumors stayed under control for a median of 16.6 months with the two-drug plan, and 8.3 months with sunitinib. After one year, about 86 out of 100 people on the two drugs were alive, versus about 76 out of 100 on sunitinib. Tumors shrank in about 56% of people on the two drugs, compared with about 27% on sunitinib. Serious side effects were common in both groups, in about three out of four people. About 20% of people on the two drugs stopped at least one drug because of side effects. People on the two-drug plan reported better day-to-day quality of life than those on sunitinib. These results suggest the two-drug plan may become an important first treatment choice for advanced kidney cancer.",33657295
Article 34,34975338,PMC8692161,liver,Integrated Machine Learning and Bioinformatic Analyses Constructed a Novel Stemness-Related Classifier to Predict Prognosis and Immunotherapy Responses for Hepatocellular Carcinoma Patients,,LIRI-JP,"Liver cancer called HCC is often hard to treat, even with new immune based drugs. A small group of cancer cells, called cancer stem cells, can help tumors start, spread, and resist many drugs. Researchers used large gene test sets from cancer and stem cell groups to study these special cells in HCC. They gave each liver tumor a “stemness score” that showed how much it acted like these strong starter cells. They then split patients into two groups based on this score, using a math method called clustering. These two groups had different immune cell patterns around the tumor and different gene activity linked to the immune system. They also showed different signs of how well early drug treatment before surgery might work. Four computer learning tools were used to tell these two groups apart more clearly. From this, researchers built a simple test based on five key genes to sort patients into the two groups. This new way to group liver cancer may help predict outcome and guide immune and targeted drug choices in the future.","Liver cancer of the main type, called liver cell cancer, often has poor survival and few good drug choices. Some liver cancer cells act like stem cells, which means they can keep making new cancer cells and resist many drugs. Researchers used large gene activity datasets from hundreds of liver cancer patients to measure how “stem-like” each tumor was. They grouped patients into two stemness types and saw that one type had higher stemness scores and worse survival over time. This higher stemness type also showed signs of a weaker immune attack inside the tumor, called an immune cold state. The other type had stronger immune cell presence and higher levels of common immune “brake” proteins that immune drugs target. Patients in this lower stemness group were predicted to respond better to some immune drugs and a targeted pill called erlotinib. Researchers then built a simple lab test based on five genes to tell these two stemness types apart in new patients. This test worked well in two separate patient groups and could predict which patients lived longer. If confirmed in future trials, this stemness test might help doctors choose immune and targeted drugs more wisely for liver cancer.",34975338
Article 35,35403841,PMC9844511,lung,Neoadjuvant Nivolumab plus Chemotherapy in Resectable Lung Cancer,,,"People with an early stage type of lung cancer often have surgery to remove the tumor, but cancer can return. Doctors sometimes give drug treatment before surgery to shrink the tumor and lower the chance it comes back. Researchers compared two plans for people with lung cancer that could be removed by surgery. One plan used a mix of a newer immune drug plus standard cancer drugs before surgery. The other plan used only standard cancer drugs before surgery. People who got the mix of drugs went about 31.6 months without the cancer growing or coming back. People who got only standard drugs went about 20.8 months without the cancer growing or coming back. In the mix group, about 24 out of 100 people had no live cancer cells left at surgery. In the standard group, about 2 out of 100 people had no live cancer cells left at surgery. Serious side effects were common but happened at about the same rate in both groups. Most people in both groups were still able to have surgery as planned. These results suggest adding the immune drug before surgery may better control this lung cancer without adding extra harm.","People with early lung cancer often can have surgery, but the cancer still comes back in many cases. Doctors are testing if adding an immune drug to chemo before surgery can help people stay cancer free longer. Researchers gave one group chemo plus an immune drug called nivolumab, and another group chemo alone before surgery. They then compared how long people lived without the cancer growing or coming back, and how many had no cancer left at surgery. People who got nivolumab plus chemo went a median of 31.6 months without cancer events, versus 20.8 months with chemo alone. At one year, about 76% on the combo had no cancer return, compared with about 63% on chemo alone. At surgery, 24% of people on the combo had no live cancer cells, compared with about 2% on chemo alone. Serious treatment side effects were common in both groups, but were not higher with nivolumab plus chemo. Adding nivolumab also did not make surgery harder to do or more risky. These results suggest that chemo plus nivolumab before surgery may help some people with early lung cancer live longer without relapse. This approach is now an approved option for some adults with operable lung cancer in the United States.",35403841
Article 36,35665782,PMC10561652,breast,Trastuzumab Deruxtecan in Previously Treated HER2-Low Advanced Breast Cancer,,,"Many people with breast cancer have tumors with only a small amount of a marker called HER2 on their cells. Current drugs that target HER2 do not work well for these “HER2-low” cancers, especially after other chemo has failed. Researchers tested a drug called trastuzumab deruxtecan in people with HER2-low breast cancer that had spread in the body. They compared this drug to the doctor’s choice of standard chemo in a large group of patients. Most people in the trial, about 89 out of 100, had tumors that also used hormone signals to grow. People who got trastuzumab deruxtecan went longer before their cancer grew again, about 10 months versus about 5 months. They also lived longer overall, about 24 months versus about 18 months with standard chemo. Looking at all patients together, the time without cancer growth and overall survival were also longer with this drug. Serious side effects were common with both treatments, but somewhat fewer people had them with trastuzumab deruxtecan. Some people on trastuzumab deruxtecan had serious lung problems, and a small number of these were fatal. These results suggest this drug may become an option for people with HER2-low metastatic breast cancer after earlier chemo.","Many people with advanced breast cancer have low levels of a marker called HER2 on their tumor cells. These cancers are usually treated like HER2‑negative cancers and often have few good treatment options after first drugs stop working. Researchers tested a drug called trastuzumab deruxtecan in people with HER2‑low breast cancer that had spread in the body. They compared this drug with the doctor’s choice of standard chemo drugs in more than 550 people. People who got trastuzumab deruxtecan went about 10 months before the cancer grew, versus about 5 months with standard chemo. Overall survival was about 23 to 24 months with trastuzumab deruxtecan, compared with about 17 months with standard chemo. About half of patients had their tumors shrink with trastuzumab deruxtecan, compared with about 16% on standard chemo. Serious side effects happened in both groups, but were somewhat less common with trastuzumab deruxtecan than with standard chemo. A lung problem called lung inflammation or scarring occurred in about 12% of people on trastuzumab deruxtecan and was sometimes fatal. These results suggest trastuzumab deruxtecan could become an important treatment choice for many people with HER2‑low advanced breast cancer.",35665782
Article 37,36769187,PMC9918018,Liver,Identification of Anoikis-Related Subgroups and Prognosis Model in Liver Hepatocellular Carcinom,,LIRI-JP,"Liver cancer can spread when cancer cells avoid a type of cell death called anoikis, which normally stops loose cells. The way this cell death works in liver cancer was not clear before this work. Researchers used large public cancer data sets to sort liver tumors into groups based on anoikis related genes. They then built a risk score using several key genes linked with this cell death process and patient survival time. This risk score was checked in other liver cancer data sets from around the world to see if it held up. The liver cancer cases fell into two main groups, and one group had clearly worse survival than the other. Five genes tied to anoikis were linked with how long people with liver cancer lived. The risk score based on these genes did a good job at predicting overall survival. The risk score also linked closely with certain immune cells found inside the tumors. These results may help explain how liver cancer grows and could guide new ways to plan treatment in the future.","Liver cancer is a common and deadly cancer, and doctors still need better ways to predict how patients will do. Researchers studied a type of cell death called anoikis, which normally kills cells that lose their support in the body. Cancer cells can resist this death, stay alive, and spread to new places in the body. Using large public data sets, researchers looked at many liver tumors and nearby normal tissue. They found 168 genes linked to anoikis that were different in liver cancer tissue than in normal liver tissue. Based on these genes, they split patients into groups with different chances of survival. They then built a “risk score” using five key genes tied to anoikis and patient survival. People with a high risk score died sooner and more often than people with a low score. The score predicted one‑, three‑, and five‑year survival with good accuracy in several data sets. The five genes and the risk score were also linked to many types of immune cells in the tumor. These results suggest that anoikis‑related genes may help doctors judge outlook and guide care in liver cancer in the future.",36769187
Article 38,37006257,PMC10050519,liver,T-cell exhaustion signatures characterize the immune landscape and predict HCC prognosis via integrating single-cell RNA-seq and bulk RNA-sequencing,,LIRI-JP,"Liver cancer called hepatocellular carcinoma is a common cause of cancer death and often has a poor outlook. Researchers studied a type of immune cell problem called T cell loss, which happens when these cells are overworked for too long. This T cell loss is linked to how well the body can fight tumors and how long patients may live. Researchers used large sets of tumor gene data from many liver cancer patients to look for patterns of T cell loss. They built a gene “signature,” a group of 11 genes, that was strongly tied to patient survival in liver cancer. People placed in the low‑risk group by this gene test lived longer than those in the high‑risk group. The risk score stayed useful even when other clinical factors were taken into account. Tools that combined the risk score with basic clinical facts gave strong power to predict patient outcomes. This gene signature may help doctors judge which patients could respond better to immune‑based cancer drugs. In the future, this kind of test might guide more personal treatment plans for people with liver cancer.","Liver cancer called hepatocellular carcinoma is common and often deadly, especially when found at a late stage. T cells are blood cells that should attack cancer, but in many patients they become tired and stop working well. Researchers used large gene data sets from hundreds of liver cancer patients to study this T cell tiredness process. They picked 11 key genes linked to tired T cells and built a “risk score” based on gene activity levels. Patients with a low risk score lived longer than those with a high risk score in both main data groups. The risk score stayed important even when age, tumor stage, and other clinic details were also tested. Patients with low scores often had lower gene mutation load and better survival than those with high scores. The score also related to which immune cells were inside the tumor and to many immune “brake” signals. In several groups of people given immune therapy, lower risk scores linked with better treatment response and survival. Some common chemo drugs also seemed to work differently in high and low risk groups. This gene-based risk score may help doctors sort liver cancer patients by outlook and guide immune or drug treatment choices.",37006257
Article 39,38458635,PMC10921522,Esophageal,Neoadjuvant chemoradiotherapy combined with sequential perioperative toripalimab in locally advanced esophageal squamous cell cancer,,,"People with a type of throat cancer called esophageal squamous cell cancer often need better treatment options. Researchers tested a plan that used both chemo, radiation, and an immune drug called toripalimab before and after surgery. They gave this plan to 21 adults with cancer in the chest part of the esophagus that could be removed. Most patients had the planned surgery after these treatments, while one person chose not to have surgery. Among 19 people with this cancer who had surgery, about 79% had very few cancer cells left in the tumor. In about 47% of these patients, no cancer cells were seen in the removed tumor at all. All 21 patients had some side effects, most often low white blood cell counts in the blood. About two thirds had more serious side effects, mainly very low levels of certain infection fighting cells. Three patients had the cancer come back, and people with a stronger tumor response stayed cancer free longer. Overall, this mix of chemo, radiation, surgery, and immune drug seemed helpful and acceptably safe for this cancer type. More time and follow up are needed to know how well people live in the long term.","Cancer of the esophagus is common and often found at a late stage, when cure is hard. Researchers treated 21 adults with a mix of radiation, two cancer drugs, and an immune drug called toripalimab before and after surgery. Twenty people had surgery, and 19 with this cancer type were checked for how much tumor was left. About 79% of these 19 people had very little cancer left in the main tumor after treatment. About 47% had no signs of cancer in the removed tumor or nearby lymph glands. Most people had side effects like low white blood cells, but there were no treatment‑related deaths. Some people had surgery problems like leaks or lung infection, but these were similar to past reports. People whose tumors shrank more tended to stay free of cancer longer during the follow‑up time. Scans done after treatment helped tell who still had cancer and who likely had none left. This combined treatment looks helpful and fairly safe for people with this type of esophagus cancer that can be removed. Larger and longer studies are still needed to know the true long‑term benefits and best use in patients.",38458635
Article 40,38701500,PMC11325911,lung,Association of glucagon-like peptide-1 receptor agonists with risk of cancers-evidence from a drug target Mendelian randomization and clinical trials,,,"Many people now use a newer type of drug to help with weight loss and type 2 diabetes. Researchers used people’s genetic data as a stand in for long term use of these drugs. They looked at links between this stand in and 14 common cancers in very large data sets. They also checked past clinical trials of these drugs to see how often cancer was reported. The genetic work showed a lower chance of breast cancer and a common skin cancer called basal cell cancer. It also showed a higher chance of colon and rectal cancer in people with this genetic pattern. There was no clear link with cancer of the ovary, lung, or thyroid gland. Across 80 clinical trials, very few people on these drugs were found to have any kind of cancer. Overall, the drugs may lower some cancer risks but may raise colon and rectal cancer risk. So far, cancer cases in people taking these drugs stay low, but careful watching is still needed. Future large and long term trials are needed to better judge cancer risk and benefit for patients.","Many people now use a newer type of weight loss and diabetes drug that acts on a gut hormone receptor. Researchers used people’s genetic data to model long term effects of this drug target on 14 common cancers. They also reviewed 80 clinical trials where adults took these drugs and checked how many later got cancer. The genetic work linked this drug target with lower risk of breast cancer and a common skin cancer called basal cell cancer. It also linked the drug target with higher risk of colon and rectal cancer, which together are called colorectal cancer. The same work suggested no clear change in risk for lung, thyroid, or ovarian cancer. Across 65,328 people who took these drugs in trials, 1,559 later developed some type of cancer. In these trials, the most often seen cancers were pancreatic, breast, lung, colorectal, and prostate cancers, but numbers were small. Overall, cancer cases in people taking these drugs were low, but follow up time was often short. These results suggest possible trade offs in cancer risk and show the need for larger, long term trials.",38701500
Article 41,38819031,PMC11458101,lung,Lorlatinib Versus Crizotinib in Patients With Advanced ALK-Positive Non-Small Cell Lung Cancer: 5-Year Outcomes From the Phase III CROWN Study,,,"People with a certain type of lung cancer often see their disease grow again after first treatment. Researchers compared two daily pills for people with this lung cancer type who had not had past treatment. One pill was lorlatinib, taken once a day, and the other was crizotinib, taken twice a day. After about five years, cancer stayed under control much longer with lorlatinib than with crizotinib. The middle value for time without cancer growth was not yet reached for lorlatinib, but was 9.1 months for crizotinib. About 60 out of 100 people on lorlatinib had no cancer growth at five years, versus 8 out of 100 on crizotinib. Cancer spread in the brain also took much longer to appear with lorlatinib than with crizotinib. Side effects with lorlatinib were in line with what was seen in earlier checks. Blood tests at the end of lorlatinib treatment did not show new cancer gene changes linked to this drug. These results suggest lorlatinib may give people with this lung cancer longer control of their disease than older targeted pills.","People with a certain type of advanced lung cancer often see their disease grow again after treatment. Researchers compared two daily pills, lorlatinib and crizotinib, in 296 people who had not had prior treatment. They watched how long people lived without their cancer getting worse, and how well the drugs protected the brain. After about five years, cancer stayed under control much longer with lorlatinib than with crizotinib. The middle value for time without cancer growth was over five years with lorlatinib, but only about nine months with crizotinib. About 60% of people on lorlatinib had no cancer growth at five years, compared with 8% on crizotinib. Lorlatinib also did a better job keeping cancer from starting or growing in the brain. Side effects were common with both drugs, and serious side effects were more frequent with lorlatinib. Most brain-related side effects with lorlatinib were mild to moderate and could be managed by changing the dose. These results suggest lorlatinib may offer longer control of this lung cancer, especially in protecting the brain.",38819031
Article 42,38956195,PMC11405280,Esophageal,Neoadjuvant chemotherapy with or without camrelizumab in resectable esophageal squamous cell carcinoma: the randomized phase 3 ESCORT-NEO/NCCES01 trial,,,"People with a certain type of throat and food pipe cancer often need strong treatment before surgery. Researchers tested if adding a new immune drug to standard chemo before surgery could help more patients. They worked with 391 adults who could still have surgery for this cancer in the chest area. People were split into three groups and all got two rounds of treatment, then surgery. Two groups got chemo plus the immune drug, and one group got chemo alone. The two immune drug groups also kept getting the immune drug after surgery for a time. The main goal was to see how many people had no cancer left in the removed tissue. About 28 out of 100 people in one immune drug group had no cancer seen after surgery. About 15 out of 100 people in the other immune drug group had no cancer seen. Only about 5 out of 100 people in the chemo alone group had no cancer seen. Serious side effects during treatment and after surgery were common but close in all three groups. Adding the immune drug to chemo before surgery cleared all seen cancer in more people, with side effects that doctors could manage.","People with a type of throat tube cancer called esophageal squamous cell cancer often need treatment before surgery. Researchers tested if adding an immune drug called camrelizumab to standard chemo before surgery could kill more cancer cells. They split 391 adults into three groups and gave all of them two cycles of chemo before surgery. Two groups also got the immune drug before surgery and again after surgery, while one group got chemo only. In the chemo-only group, about 5 out of 100 people had no cancer left in the removed tissue. With chemo plus the immune drug, about 15 out of 100 and 28 out of 100 people had no cancer left. More people in the immune drug plus chemo groups also had very small amounts of cancer left after surgery. Side effects like low white blood cells were common in all groups and were somewhat higher with the added immune drug. Serious surgery problems and deaths within 30 or 90 days were low and similar across all groups. These results suggest that adding this immune drug to chemo before surgery may clear more cancer without making surgery less safe. Long-term survival results are not ready yet, so the effect on life span is still unknown.",38956195
Article 43,39413377,PMC7616714,prostate,Phase 3 Trial of Stereotactic Body Radiotherapy in Localized Prostate Cancer,,,"Men with early prostate cancer often get many weeks of daily radiation treatment. Researchers compared a short, focused radiation plan with the usual longer radiation plans in these men. They randomly placed 874 men into two groups at many cancer centers. One group got five radiation treatments over one to two weeks, and the other got 20 to 39 treatments over four to seven weeks. No one in either group was allowed to get hormone blocking drugs during this time. After about six years, about 96 out of 100 men in the short plan group had no cancer signs in blood or scans. About 95 out of 100 men in the longer plan group also had no cancer signs. The short plan caused more later urine side effects, about 27 out of 100 men, versus 18 out of 100 with longer plans. Bowel side effects were about the same in both groups, around 10 out of 100 men. Overall, the short plan worked as well as the longer plans for these early prostate cancers. These results suggest some men may finish radiation faster, with similar cancer control but somewhat higher urine side effects.","Men with early prostate cancer often get many weeks of daily radiation treatment to cure the disease. Researchers compared a short course of focused radiation, given in five treatments, with the usual longer radiation plans. They enrolled 874 men with low or medium risk prostate cancer and randomly placed them into two treatment groups. One group had radiation over four to eight weeks, and the other group finished in one to two weeks. After about six years, about 95 out of 100 men in both groups had no signs of cancer coming back. The short course worked just as well as the longer course at keeping the cancer under control. More men in the short course group had lasting urine side effects, about 27% versus 18% with the longer course. Bowel and sexual side effects were low and very similar between the two groups over five years. Most men in both groups reported stable bladder and bowel control from two to five years after treatment. These results suggest that a five-treatment plan can be an effective option for many men with early prostate cancer. In the future, this shorter plan may offer good cancer control with fewer hospital visits for some patients.",39413377
Article 44,39945744,PMC12046336,prostate,The Germline and Somatic Origins of Prostate Cancer Heterogeneity,,EOPC-DE,"Prostate cancer starts when cells in the prostate grow out of control and form a tumor. Researchers studied a very large group of prostate tumors to look for key gene changes that drive this cancer. They found 223 spots in the genes that were often changed in these tumors. These gene changes are called driver regions because they help the cancer grow and spread. Researchers also looked at gene changes people are born with and gene changes that happen later in life. They found links between these two kinds of gene changes and how fast the tumor became more serious. Some inherited gene changes seemed to shape which later gene changes appeared in the tumor. The timing of these later gene changes also seemed to affect how aggressive the cancer became. These findings help explain why prostate cancer can act very differently from one man to another. In the future, this kind of gene information may help doctors better predict which tumors will grow faster.","Prostate cancer can be slow-growing in many men, but in some it becomes fast and life-threatening. Researchers examined 666 prostate tumors to map many kinds of DNA changes in each tumor. They looked at large and small DNA changes, and grouped tumors into seven genetic subtypes. Most tumors had about eight important DNA changes that helped the cancer grow and spread. High-grade tumors, which are more dangerous, had more total DNA changes than low-grade tumors. Certain early DNA changes, such as extra copies of growth genes, were more common in high-grade tumors. These early changes were linked with a higher chance of the cancer coming back after treatment. The pattern of DNA changes also related to common clinic tests, like blood PSA level and tumor size. Researchers then linked some inherited DNA markers with specific tumor DNA changes. They confirmed 11 such links in nearly 2,000 men, across early, localized, and advanced prostate cancer. Some of these inherited markers also changed how tumor DNA was switched on or off by chemical tags. In the future, these findings may help refine risk scores and guide how closely some men are watched.",39945744
Article 45,40165634,PMC12051612,prostate,Darolutamide plus androgen-deprivation therapy: propensity score matching of ARASEC and historic clinical trial patients,,,"Men with prostate cancer that has spread often get hormone blocking drugs, sometimes with a strong chemo drug called docetaxel. Some men cannot or do not want to get chemo, so another plan is needed. Researchers tested adding a pill called darolutamide to hormone blocking drugs, without chemo. They used past data from men who got only hormone blocking drugs as a comparison group. They made sure the two groups were as alike as possible at the start. They matched men by age, health, cancer spread, past treatment, and blood test levels. There were 223 men in the new treatment group and 393 men in the past group. Careful matching led to 160 men in each group with very similar health features. The groups will be used to check how well the new pill plus hormone blocking drugs work and how safe it is. This type of study may help test new cancer drugs faster and at lower cost in the future.","Men with advanced prostate cancer often get a hormone-blocking treatment called ADT as their first main therapy. Researchers are testing if adding a pill called darolutamide to ADT can help these men live longer without cancer growth. They gave darolutamide plus ADT to 223 men in the United States with cancer that had spread but still responded to hormones. They then compared these men to 160 similar men from an older trial who had received ADT alone. The two groups were carefully matched by age, cancer spread, prior treatment, cancer grade, and blood marker levels. Earlier large trials showed that darolutamide with ADT, with or without chemotherapy, cut the risk of death by over 30%. Another trial without chemotherapy showed a 46% lower risk of cancer growth or death with darolutamide plus ADT. Side effects were similar between people who took darolutamide and those who took placebo, including tiredness and treatment stops. This new trial design uses past patient data to speed up testing and lower costs while still giving fair comparisons. Results from this work may support darolutamide plus ADT as another treatment choice for men with this type of prostate cancer.",40165634
